,P/E,P/B,EV/EBITDA,Revenue CAGR (5Y),EPS CAGR (5Y),ROE,P/E_Rank,P/B_Rank,EV/EBITDA_Rank,Revenue CAGR (5Y)_Rank,EPS CAGR (5Y)_Rank,ROE_Rank,Fundamental_Score
JPM,14.582267175180858,,,0.11667153163692667,0.08743270751737575,,0.7615384615384615,0.5,0.5,0.759075907590759,0.5714285714285714,0.5,0.5661319043992311
KEYS,50.57304182410424,,,0.0025570395955303304,-0.09986058004522536,,0.10384615384615381,0.5,0.5,0.2145214521452145,0.2605042016806723,0.5,0.266178209288285
KHC,10.81642915451895,,,-0.002515088253488673,0.39845744368890146,,0.8615384615384616,0.5,0.5,0.19801980198019803,0.9243697478991597,0.5,0.5018278857620733
KMT,22.748272708724834,,,-0.007612586570863056,0.2852528530016034,,0.5153846153846153,0.5,0.5,0.1716171617161716,0.8739495798319328,0.5,0.4653220115159545
KN,,,,-0.13930498093364807,,,0.5,0.5,0.5,0.026402640264026403,0.5,0.5,0.2960808580858086
KO,28.87229135622237,,,0.06778830000791425,0.030060747974675284,,0.3615384615384616,0.5,0.5,0.528052805280528,0.4831932773109244,0.5,0.4490395922268375
KOP,10.941127328244274,,,0.07616386874173564,-0.14047619656615906,,0.8576923076923078,0.5,0.5,0.5643564356435643,0.20168067226890757,0.5,0.38588513699463034
KSS,18.281540110091743,,,-0.058444500127734944,-0.46528461239012275,,0.6576923076923077,0.5,0.5,0.07590759075907591,0.025210084033613446,0.5,0.16311965456403427
KWR,20.805396797092005,,,0.0146473555967086,-0.013939100199574228,,0.5807692307692307,0.5,0.5,0.264026402640264,0.40336134453781514,0.5,0.3445933255251834
LH,29.92734438605898,,,-0.0032382211969773644,-0.28771212547918146,,0.3384615384615385,0.5,0.5,0.19141914191419143,0.058823529411764705,0.5,0.20094425279632033
LI,2.5811008494400767,,,0.7488080316039747,,,0.9653846153846154,0.5,0.5,0.9867986798679867,0.5,0.5,0.6237223914699161
LMND,,,,0.6005814670083849,,,0.5,0.5,0.5,0.9801980198019802,0.5,0.5,0.6060643564356435
LMT,19.843141085457273,,,0.019499753335356917,-0.006755970694940938,,0.6076923076923078,0.5,0.5,0.29042904290429045,0.42436974789915966,0.5,0.3608993506008649
